"Date","Price","Open","High","Low","Vol.","Change %"
"08/12/2023","67,667.22","68,720.96","68,891.43","67,542.93","125.01M","-1.53%"
"07/12/2023","68,720.96","69,287.64","69,303.62","68,565.83","130.93M","-0.82%"
"06/12/2023","69,287.64","69,134.61","69,811.79","69,124.95","111.16M","0.22%"
"05/12/2023","69,134.61","69,908.27","69,919.76","68,948.01","113.91M","-1.11%"
"04/12/2023","69,908.27","69,800.58","70,099.51","69,539.09","114.06M","0.15%"
"01/12/2023","69,800.58","69,647.14","70,305.01","69,393.00","116.38M","0.22%"
"30/11/2023","69,647.14","69,303.49","70,039.15","69,294.81","684.77M","0.50%"
"29/11/2023","69,303.49","69,574.16","69,714.72","69,281.42","145.88M","-0.39%"
"28/11/2023","69,574.16","69,366.89","69,612.43","69,005.22","140.74M","0.30%"
"27/11/2023","69,366.89","69,662.79","69,758.33","69,302.56","113.26M","-0.42%"
"24/11/2023","69,662.79","69,340.50","69,680.98","68,867.96","118.03M","0.46%"
"23/11/2023","69,340.50","68,689.75","69,583.40","68,689.75","113.87M","0.95%"
"22/11/2023","68,689.75","68,204.11","69,001.57","68,038.51","173.72M","0.71%"
"21/11/2023","68,204.11","68,245.09","68,592.59","67,806.66","347.22M","-0.06%"
"20/11/2023","68,245.09","67,925.67","68,292.29","67,900.99","87.05M","0.47%"
"17/11/2023","67,925.67","67,759.75","68,161.08","67,442.38","104.85M","0.24%"
"16/11/2023","67,759.75","68,691.16","68,697.83","67,301.11","142.82M","-1.36%"
"15/11/2023","68,691.16","67,317.52","69,318.19","67,267.11","175.66M","2.04%"
"14/11/2023","67,317.52","65,653.66","67,580.77","65,653.66","141.57M","2.53%"
"13/11/2023","65,653.66","65,434.45","65,997.67","65,374.80","92.77M","0.34%"
"10/11/2023","65,434.45","66,351.80","66,351.80","65,053.90","94.01M","-1.38%"
"09/11/2023","66,351.80","66,557.34","66,557.34","65,682.53","97.19M","-0.31%"
"08/11/2023","66,557.34","65,630.37","66,557.34","65,421.54","103.75M","1.41%"
"07/11/2023","65,630.37","67,353.06","67,364.94","65,448.77","123.46M","-2.56%"
"06/11/2023","67,353.06","66,916.23","67,607.98","66,916.23","105.57M","0.65%"
"03/11/2023","66,916.23","65,437.25","67,185.77","65,430.00","140.54M","2.26%"
"02/11/2023","65,437.25","63,887.58","65,437.25","63,797.84","151.94M","2.43%"
"01/11/2023","63,887.58","63,873.91","64,047.11","63,311.89","117.55M","0.02%"
"31/10/2023","63,873.91","64,243.68","64,638.39","63,739.81","129.22M","-0.58%"
"30/10/2023","64,243.68","63,785.89","64,447.23","63,763.15","107.53M","0.72%"
"27/10/2023","63,785.89","64,267.78","64,596.83","63,748.67","103.69M","-0.75%"
"26/10/2023","64,267.78","64,556.37","64,556.37","63,733.81","123.23M","-0.45%"
"25/10/2023","64,556.37","64,849.33","64,849.33","64,156.22","99.77M","-0.45%"
"24/10/2023","64,849.33","64,340.67","64,854.35","64,293.83","93.70M","0.79%"
"23/10/2023","64,340.67","64,598.64","64,622.55","63,932.44","101.77M","-0.40%"
"20/10/2023","64,598.64","65,319.78","65,337.46","64,435.79","105.34M","-1.10%"
"19/10/2023","65,319.78","66,310.90","66,327.79","65,319.78","93.58M","-1.49%"
"18/10/2023","66,310.90","67,120.18","67,277.05","66,119.98","197.34M","-1.21%"
"17/10/2023","67,120.18","67,369.78","67,369.78","66,463.21","106.65M","-0.37%"
"16/10/2023","67,369.78","67,153.07","67,419.64","66,578.73","118.29M","0.32%"
"13/10/2023","67,153.07","67,600.06","67,616.91","67,031.43","122.43M","-0.66%"
"12/10/2023","67,600.06","68,080.49","68,602.29","67,356.97","116.37M","-0.71%"
"11/10/2023","68,080.49","68,119.04","68,167.98","67,572.41","146.32M","-0.06%"
"10/10/2023","68,119.04","65,967.35","68,119.04","65,937.55","168.48M","3.26%"
"09/10/2023","65,967.35","65,926.41","66,559.59","65,568.10","132.87M","0.06%"
"06/10/2023","65,926.41","65,546.19","65,930.46","65,119.66","106.38M","0.58%"
"05/10/2023","65,546.19","64,882.30","65,735.91","64,833.41","123.33M","1.02%"
"04/10/2023","64,882.30","65,050.39","65,521.22","64,582.94","103.10M","-0.26%"
"03/10/2023","65,050.39","65,417.44","65,906.18","64,727.03","104.07M","-0.56%"
"02/10/2023","65,417.44","65,417.44","65,417.44","65,417.44","105.55M","-1.63%"
"29/09/2023","66,500.11","66,679.05","67,380.42","66,419.63","108.25M","-0.27%"
"28/09/2023","66,679.05","66,371.27","66,702.96","66,097.16","124.98M","0.46%"
"27/09/2023","66,371.27","66,857.83","67,158.40","66,352.36","113.13M","-0.73%"
"26/09/2023","66,857.83","67,680.65","67,680.65","65,798.64","132.13M","-1.22%"
"22/09/2023","67,680.65","67,430.92","68,013.67","67,411.96","96.58M","0.37%"
"21/09/2023","67,430.92","68,995.31","68,995.31","67,137.32","266.57M","-2.27%"
